date,product_id,units_sold,base_price,release_date,lifecycle,category,current_price
2024-03-13,iPhone15,26,799,2023-09-01,Decline,Smartphones,752.5
2024-03-14,iPhone15,25,799,2023-09-01,Decline,Smartphones,752.26
2024-03-15,iPhone15,28,799,2023-09-01,Decline,Smartphones,752.02
2024-03-16,iPhone15,28,799,2023-09-01,Decline,Smartphones,789.37
2024-03-17,iPhone15,29,799,2023-09-01,Decline,Smartphones,751.54
2024-03-18,iPhone15,24,799,2023-09-01,Decline,Smartphones,751.3
2024-03-19,iPhone15,23,799,2023-09-01,Decline,Smartphones,788.61
2024-03-20,iPhone15,24,799,2023-09-01,Decline,Smartphones,750.82
2024-03-21,iPhone15,25,799,2023-09-01,Decline,Smartphones,750.58
2024-03-22,iPhone15,29,799,2023-09-01,Decline,Smartphones,750.34
2024-03-23,iPhone15,27,799,2023-09-01,Decline,Smartphones,750.1
2024-03-24,iPhone15,26,799,2023-09-01,Decline,Smartphones,749.86
2024-03-25,iPhone15,23,799,2023-09-01,Decline,Smartphones,712.14
2024-03-26,iPhone15,26,799,2023-09-01,Decline,Smartphones,749.38
2024-03-27,iPhone15,26,799,2023-09-01,Decline,Smartphones,749.14
2024-03-28,iPhone15,23,799,2023-09-01,Decline,Smartphones,748.9
2024-03-29,iPhone15,27,799,2023-09-01,Decline,Smartphones,786.1
2024-03-30,iPhone15,29,799,2023-09-01,Decline,Smartphones,711
2024-03-31,iPhone15,29,799,2023-09-01,Decline,Smartphones,710.77
2024-04-01,iPhone15,23,799,2023-09-01,Decline,Smartphones,747.94
2024-04-02,iPhone15,22,799,2023-09-01,Decline,Smartphones,747.7
2024-04-03,iPhone15,21,799,2023-09-01,Decline,Smartphones,747.46
2024-04-04,iPhone15,21,799,2023-09-01,Decline,Smartphones,709.86
2024-04-05,iPhone15,27,799,2023-09-01,Decline,Smartphones,746.99
2024-04-06,iPhone15,25,799,2023-09-01,Decline,Smartphones,746.75
2024-04-07,iPhone15,25,799,2023-09-01,Decline,Smartphones,746.51
2024-04-08,iPhone15,23,799,2023-09-01,Decline,Smartphones,746.27
2024-04-09,iPhone15,22,799,2023-09-01,Decline,Smartphones,746.03
2024-04-10,iPhone15,22,799,2023-09-01,Decline,Smartphones,745.79
2024-04-11,iPhone15,21,799,2023-09-01,Decline,Smartphones,745.55
2024-04-12,iPhone15,26,799,2023-09-01,Decline,Smartphones,782.57
2024-04-13,iPhone15,26,799,2023-09-01,Decline,Smartphones,707.81
2024-04-14,iPhone15,26,799,2023-09-01,Decline,Smartphones,744.83
2024-04-15,iPhone15,22,799,2023-09-01,Decline,Smartphones,781.82
2024-04-16,iPhone15,22,799,2023-09-01,Decline,Smartphones,744.35
2024-04-17,iPhone15,22,799,2023-09-01,Decline,Smartphones,706.9
2024-04-18,iPhone15,21,799,2023-09-01,Decline,Smartphones,743.87
2024-04-19,iPhone15,27,799,2023-09-01,Decline,Smartphones,706.45
2024-04-20,iPhone15,25,799,2023-09-01,Decline,Smartphones,743.39
2024-04-21,iPhone15,24,799,2023-09-01,Decline,Smartphones,743.15
2024-04-22,iPhone15,21,799,2023-09-01,Decline,Smartphones,705.76
2024-04-23,iPhone15,22,799,2023-09-01,Decline,Smartphones,705.54
2024-04-24,iPhone15,21,799,2023-09-01,Decline,Smartphones,779.55
2024-04-25,iPhone15,23,799,2023-09-01,Decline,Smartphones,742.19
2024-04-26,iPhone15,24,799,2023-09-01,Decline,Smartphones,741.95
2024-04-27,iPhone15,25,799,2023-09-01,Decline,Smartphones,741.71
2024-04-28,iPhone15,23,799,2023-09-01,Decline,Smartphones,741.47
2024-04-29,iPhone15,21,799,2023-09-01,Decline,Smartphones,778.29
2024-04-30,iPhone15,19,799,2023-09-01,Decline,Smartphones,703.94
2024-05-01,iPhone15,22,799,2023-09-01,Decline,Smartphones,703.72
2024-05-02,iPhone15,21,799,2023-09-01,Decline,Smartphones,740.51
2024-05-03,iPhone15,24,799,2023-09-01,Decline,Smartphones,740.27
2024-05-04,iPhone15,23,799,2023-09-01,Decline,Smartphones,740.03
2024-05-05,iPhone15,25,799,2023-09-01,Decline,Smartphones,702.8
2024-05-06,iPhone15,19,799,2023-09-01,Decline,Smartphones,739.55
2024-05-07,iPhone15,19,799,2023-09-01,Decline,Smartphones,739.31
2024-05-08,iPhone15,20,799,2023-09-01,Decline,Smartphones,739.08
2024-05-09,iPhone15,22,799,2023-09-01,Decline,Smartphones,701.89
2024-05-10,iPhone15,22,799,2023-09-01,Decline,Smartphones,738.6
2024-05-11,iPhone15,24,799,2023-09-01,Decline,Smartphones,701.44
2024-05-12,iPhone15,21,799,2023-09-01,Decline,Smartphones,701.21
2024-05-13,iPhone15,19,799,2023-09-01,Decline,Smartphones,737.88
2024-05-14,iPhone15,18,799,2023-09-01,Decline,Smartphones,737.64
2024-05-15,iPhone15,19,799,2023-09-01,Decline,Smartphones,737.4
2024-05-16,iPhone15,21,799,2023-09-01,Decline,Smartphones,737.16
2024-05-17,iPhone15,25,799,2023-09-01,Decline,Smartphones,736.92
2024-05-18,iPhone15,23,799,2023-09-01,Decline,Smartphones,736.68
2024-05-19,iPhone15,24,799,2023-09-01,Decline,Smartphones,736.44
2024-05-20,iPhone15,19,799,2023-09-01,Decline,Smartphones,699.39
2024-05-21,iPhone15,19,799,2023-09-01,Decline,Smartphones,735.96
2024-05-22,iPhone15,18,799,2023-09-01,Decline,Smartphones,735.72
2024-05-23,iPhone15,21,799,2023-09-01,Decline,Smartphones,772.25
2024-05-24,iPhone15,24,799,2023-09-01,Decline,Smartphones,735.24
2024-05-25,iPhone15,22,799,2023-09-01,Decline,Smartphones,735
2024-05-26,iPhone15,23,799,2023-09-01,Decline,Smartphones,698.02
2024-05-27,iPhone15,20,799,2023-09-01,Decline,Smartphones,771.25
2024-05-28,iPhone15,18,799,2023-09-01,Decline,Smartphones,697.57
2024-05-29,iPhone15,20,799,2023-09-01,Decline,Smartphones,697.34
2024-05-30,iPhone15,18,799,2023-09-01,Decline,Smartphones,733.8
2024-05-31,iPhone15,21,799,2023-09-01,Decline,Smartphones,733.56
2024-06-01,iPhone15,21,799,2023-09-01,Decline,Smartphones,769.99
2024-06-02,iPhone15,21,799,2023-09-01,Decline,Smartphones,696.43
2024-06-03,iPhone15,18,799,2023-09-01,Decline,Smartphones,732.84
2024-06-04,iPhone15,18,799,2023-09-01,Decline,Smartphones,732.6
2024-06-05,iPhone15,19,799,2023-09-01,Decline,Smartphones,768.98
2024-06-06,iPhone15,18,799,2023-09-01,Decline,Smartphones,732.12
2024-06-07,iPhone15,21,799,2023-09-01,Decline,Smartphones,731.88
2024-06-08,iPhone15,21,799,2023-09-01,Decline,Smartphones,731.64
2024-06-09,iPhone15,23,799,2023-09-01,Decline,Smartphones,731.4
2024-06-10,iPhone15,19,799,2023-09-01,Decline,Smartphones,731.16
2024-06-11,iPhone15,19,799,2023-09-01,Decline,Smartphones,730.93
2024-06-12,iPhone15,17,799,2023-09-01,Decline,Smartphones,730.69
2024-06-13,iPhone15,16,799,2023-09-01,Decline,Smartphones,730.45
2024-06-14,iPhone15,21,799,2023-09-01,Decline,Smartphones,766.72
2024-06-15,iPhone15,21,799,2023-09-01,Decline,Smartphones,729.97
2024-06-16,iPhone15,23,799,2023-09-01,Decline,Smartphones,729.73
2024-06-17,iPhone15,17,799,2023-09-01,Decline,Smartphones,729.49
2024-06-18,iPhone15,17,799,2023-09-01,Decline,Smartphones,765.71
2024-06-19,iPhone15,19,799,2023-09-01,Decline,Smartphones,765.46
2024-06-20,iPhone15,18,799,2023-09-01,Decline,Smartphones,728.77
2024-06-21,iPhone15,22,799,2023-09-01,Decline,Smartphones,728.53
2024-06-22,iPhone15,23,799,2023-09-01,Decline,Smartphones,728.29
2024-06-23,iPhone15,19,799,2023-09-01,Decline,Smartphones,728.05
2024-06-24,iPhone15,19,799,2023-09-01,Decline,Smartphones,727.81
2024-06-25,iPhone15,20,799,2023-09-01,Decline,Smartphones,763.95
2024-06-26,iPhone15,21,799,2023-09-01,Decline,Smartphones,763.7
2024-06-27,iPhone15,19,799,2023-09-01,Decline,Smartphones,727.09
2024-06-28,iPhone15,22,799,2023-09-01,Decline,Smartphones,726.85
2024-06-29,iPhone15,22,799,2023-09-01,Decline,Smartphones,690.28
2024-06-30,iPhone15,22,799,2023-09-01,Decline,Smartphones,726.37
2024-07-01,iPhone15,16,799,2023-09-01,Decline,Smartphones,689.82
2024-07-02,iPhone15,17,799,2023-09-01,Decline,Smartphones,725.89
2024-07-03,iPhone15,17,799,2023-09-01,Decline,Smartphones,761.93
2024-07-04,iPhone15,17,799,2023-09-01,Decline,Smartphones,725.41
2024-07-05,iPhone15,21,799,2023-09-01,Decline,Smartphones,725.17
2024-07-06,iPhone15,19,799,2023-09-01,Decline,Smartphones,761.18
2024-07-07,iPhone15,20,799,2023-09-01,Decline,Smartphones,724.69
2024-07-08,iPhone15,17,799,2023-09-01,Decline,Smartphones,724.45
2024-07-09,iPhone15,16,799,2023-09-01,Decline,Smartphones,724.21
2024-07-10,iPhone15,17,799,2023-09-01,Decline,Smartphones,723.97
2024-07-11,iPhone15,17,799,2023-09-01,Decline,Smartphones,723.73
2024-07-12,iPhone15,19,799,2023-09-01,Decline,Smartphones,723.49
2024-07-13,iPhone15,20,799,2023-09-01,Decline,Smartphones,723.25
2024-07-14,iPhone15,20,799,2023-09-01,Decline,Smartphones,759.17
2024-07-15,iPhone15,17,799,2023-09-01,Decline,Smartphones,686.64
2024-07-16,iPhone15,18,799,2023-09-01,Decline,Smartphones,758.66
2024-07-17,iPhone15,16,799,2023-09-01,Decline,Smartphones,758.41
2024-07-18,iPhone15,17,799,2023-09-01,Decline,Smartphones,722.06
2024-07-19,iPhone15,18,799,2023-09-01,Decline,Smartphones,721.82
2024-07-20,iPhone15,20,799,2023-09-01,Decline,Smartphones,721.58
2024-07-21,iPhone15,20,799,2023-09-01,Decline,Smartphones,721.34
2024-07-22,iPhone15,17,799,2023-09-01,Decline,Smartphones,721.1
2024-07-23,iPhone15,18,799,2023-09-01,Decline,Smartphones,720.86
2024-07-24,iPhone15,16,799,2023-09-01,Decline,Smartphones,720.62
2024-07-25,iPhone15,17,799,2023-09-01,Decline,Smartphones,720.38
2024-07-26,iPhone15,20,799,2023-09-01,Decline,Smartphones,720.14
2024-07-27,iPhone15,19,799,2023-09-01,Decline,Smartphones,755.89
2024-07-28,iPhone15,17,799,2023-09-01,Decline,Smartphones,719.66
2024-07-29,iPhone15,14,799,2023-09-01,Decline,Smartphones,683.45
2024-07-30,iPhone15,16,799,2023-09-01,Decline,Smartphones,755.14
2024-07-31,iPhone15,16,799,2023-09-01,Decline,Smartphones,718.94
2024-08-01,iPhone15,16,799,2023-09-01,Decline,Smartphones,718.7
2024-08-02,iPhone15,18,799,2023-09-01,Decline,Smartphones,754.38
2024-08-03,iPhone15,19,799,2023-09-01,Decline,Smartphones,682.31
2024-08-04,iPhone15,18,799,2023-09-01,Decline,Smartphones,717.98
2024-08-05,iPhone15,15,799,2023-09-01,Decline,Smartphones,753.63
2024-08-06,iPhone15,15,799,2023-09-01,Decline,Smartphones,681.63
2024-08-07,iPhone15,14,799,2023-09-01,Decline,Smartphones,717.26
2024-08-08,iPhone15,16,799,2023-09-01,Decline,Smartphones,681.17
2024-08-09,iPhone15,18,799,2023-09-01,Decline,Smartphones,716.78
2024-08-10,iPhone15,17,799,2023-09-01,Decline,Smartphones,716.54
2024-08-11,iPhone15,16,799,2023-09-01,Decline,Smartphones,716.3
2024-08-12,iPhone15,15,799,2023-09-01,Decline,Smartphones,680.26
2024-08-13,iPhone15,14,799,2023-09-01,Decline,Smartphones,715.82
2024-08-14,iPhone15,16,799,2023-09-01,Decline,Smartphones,715.58
2024-08-15,iPhone15,16,799,2023-09-01,Decline,Smartphones,715.34
2024-08-16,iPhone15,18,799,2023-09-01,Decline,Smartphones,715.1
2024-08-17,iPhone15,18,799,2023-09-01,Decline,Smartphones,679.12
2024-08-18,iPhone15,18,799,2023-09-01,Decline,Smartphones,714.63
2024-08-19,iPhone15,16,799,2023-09-01,Decline,Smartphones,678.67
2024-08-20,iPhone15,16,799,2023-09-01,Decline,Smartphones,714.15
2024-08-21,iPhone15,15,799,2023-09-01,Decline,Smartphones,713.91
2024-08-22,iPhone15,15,799,2023-09-01,Decline,Smartphones,749.35
2024-08-23,iPhone15,16,799,2023-09-01,Decline,Smartphones,749.1
2024-08-24,iPhone15,18,799,2023-09-01,Decline,Smartphones,748.85
2024-08-25,iPhone15,19,799,2023-09-01,Decline,Smartphones,748.6
2024-08-26,iPhone15,15,799,2023-09-01,Decline,Smartphones,712.71
2024-08-27,iPhone15,13,799,2023-09-01,Decline,Smartphones,712.47
2024-08-28,iPhone15,14,799,2023-09-01,Decline,Smartphones,712.23
2024-08-29,iPhone15,14,799,2023-09-01,Decline,Smartphones,676.39
2024-08-30,iPhone15,17,799,2023-09-01,Decline,Smartphones,711.75
2024-08-31,iPhone15,16,799,2023-09-01,Decline,Smartphones,711.51
2024-09-01,iPhone15,16,799,2023-09-01,Decline,Smartphones,711.27
2024-09-02,iPhone15,15,799,2023-09-01,Decline,Smartphones,711.03
2024-09-03,iPhone15,15,799,2023-09-01,Decline,Smartphones,710.79
2024-09-04,iPhone15,14,799,2023-09-01,Decline,Smartphones,746.08
2024-09-05,iPhone15,13,799,2023-09-01,Decline,Smartphones,745.83
2024-09-06,iPhone15,17,799,2023-09-01,Decline,Smartphones,710.07
2024-09-07,iPhone15,16,799,2023-09-01,Decline,Smartphones,709.83
2024-09-08,iPhone15,18,799,2023-09-01,Decline,Smartphones,709.59
2024-09-09,iPhone15,14,799,2023-09-01,Decline,Smartphones,673.88
2024-09-10,iPhone15,13,799,2023-09-01,Decline,Smartphones,709.11
2024-09-11,iPhone15,14,799,2023-09-01,Decline,Smartphones,708.87
2024-09-12,iPhone15,14,799,2023-09-01,Decline,Smartphones,708.63
2024-09-13,iPhone15,15,799,2023-09-01,Decline,Smartphones,708.39
2024-09-14,iPhone15,17,799,2023-09-01,Decline,Smartphones,708.15
2024-09-15,iPhone15,16,799,2023-09-01,Decline,Smartphones,707.91
2024-09-16,iPhone15,13,799,2023-09-01,Decline,Smartphones,743.06
2024-09-17,iPhone15,13,799,2023-09-01,Decline,Smartphones,742.81
2024-09-18,iPhone15,15,799,2023-09-01,Decline,Smartphones,671.84
2024-09-19,iPhone15,15,799,2023-09-01,Decline,Smartphones,706.96
2024-09-20,iPhone15,18,799,2023-09-01,Decline,Smartphones,706.72
2024-09-21,iPhone15,16,799,2023-09-01,Decline,Smartphones,706.48
2024-09-22,iPhone15,16,799,2023-09-01,Decline,Smartphones,741.55
2024-09-23,iPhone15,15,799,2023-09-01,Decline,Smartphones,706
2024-09-24,iPhone15,14,799,2023-09-01,Decline,Smartphones,705.76
2024-09-25,iPhone15,14,799,2023-09-01,Decline,Smartphones,670.24
2024-09-26,iPhone15,14,799,2023-09-01,Decline,Smartphones,705.28
2024-09-27,iPhone15,15,799,2023-09-01,Decline,Smartphones,705.04
2024-09-28,iPhone15,16,799,2023-09-01,Decline,Smartphones,704.8
2024-09-29,iPhone15,15,799,2023-09-01,Decline,Smartphones,669.33
2024-09-30,iPhone15,15,799,2023-09-01,Decline,Smartphones,704.32
2024-10-01,iPhone15,12,799,2023-09-01,Decline,Smartphones,668.87
2024-10-02,iPhone15,13,799,2023-09-01,Decline,Smartphones,703.84
2024-10-03,iPhone15,12,799,2023-09-01,Decline,Smartphones,703.6
2024-10-04,iPhone15,15,799,2023-09-01,Decline,Smartphones,703.36
2024-10-05,iPhone15,14,799,2023-09-01,Decline,Smartphones,667.96
2024-10-06,iPhone15,16,799,2023-09-01,Decline,Smartphones,702.88
2024-10-07,iPhone15,12,799,2023-09-01,Decline,Smartphones,702.64
2024-10-08,iPhone15,13,799,2023-09-01,Decline,Smartphones,702.4
2024-10-09,iPhone15,13,799,2023-09-01,Decline,Smartphones,702.16
2024-10-10,iPhone15,13,799,2023-09-01,Decline,Smartphones,701.92
2024-10-11,iPhone15,15,799,2023-09-01,Decline,Smartphones,701.68
2024-10-12,iPhone15,15,799,2023-09-01,Decline,Smartphones,701.44
2024-10-13,iPhone15,16,799,2023-09-01,Decline,Smartphones,701.2
2024-10-14,iPhone15,12,799,2023-09-01,Decline,Smartphones,736.01
2024-10-15,iPhone15,12,799,2023-09-01,Decline,Smartphones,700.72
2024-10-16,iPhone15,12,799,2023-09-01,Decline,Smartphones,700.48
2024-10-17,iPhone15,12,799,2023-09-01,Decline,Smartphones,700.24
2024-10-18,iPhone15,14,799,2023-09-01,Decline,Smartphones,735
2024-10-19,iPhone15,15,799,2023-09-01,Decline,Smartphones,699.76
2024-10-20,iPhone15,15,799,2023-09-01,Decline,Smartphones,699.52
2024-10-21,iPhone15,13,799,2023-09-01,Decline,Smartphones,699.28
2024-10-22,iPhone15,12,799,2023-09-01,Decline,Smartphones,734
2024-10-23,iPhone15,11,799,2023-09-01,Decline,Smartphones,663.87
2024-10-24,iPhone15,11,799,2023-09-01,Decline,Smartphones,663.64
2024-10-25,iPhone15,13,799,2023-09-01,Decline,Smartphones,733.24
2024-10-26,iPhone15,13,799,2023-09-01,Decline,Smartphones,698.09
2024-10-27,iPhone15,12,799,2023-09-01,Decline,Smartphones,697.85
2024-10-28,iPhone15,11,799,2023-09-01,Decline,Smartphones,732.49
2024-10-29,iPhone15,12,799,2023-09-01,Decline,Smartphones,662.5
2024-10-30,iPhone15,11,799,2023-09-01,Decline,Smartphones,731.98
2024-10-31,iPhone15,11,799,2023-09-01,Decline,Smartphones,731.73
2024-11-01,iPhone15,12,799,2023-09-01,Decline,Smartphones,592.15
2024-11-02,iPhone15,13,799,2023-09-01,Decline,Smartphones,591.95
2024-11-03,iPhone15,13,799,2023-09-01,Decline,Smartphones,621.33
2024-11-04,iPhone15,12,799,2023-09-01,Decline,Smartphones,561.96
2024-11-05,iPhone15,12,799,2023-09-01,Decline,Smartphones,620.9
2024-11-06,iPhone15,10,799,2023-09-01,Decline,Smartphones,561.58
2024-11-07,iPhone15,11,799,2023-09-01,Decline,Smartphones,590.93
2024-11-08,iPhone15,12,799,2023-09-01,Decline,Smartphones,590.72
2024-11-09,iPhone15,12,799,2023-09-01,Decline,Smartphones,590.52
2024-11-10,iPhone15,13,799,2023-09-01,Decline,Smartphones,590.32
2024-11-11,iPhone15,11,799,2023-09-01,Decline,Smartphones,590.11
2024-11-12,iPhone15,10,799,2023-09-01,Decline,Smartphones,619.41
2024-11-13,iPhone15,11,799,2023-09-01,Decline,Smartphones,589.71
2024-11-14,iPhone15,10,799,2023-09-01,Decline,Smartphones,589.5
2024-11-15,iPhone15,12,799,2023-09-01,Decline,Smartphones,618.76
2024-11-16,iPhone15,12,799,2023-09-01,Decline,Smartphones,589.09
2024-11-17,iPhone15,11,799,2023-09-01,Decline,Smartphones,618.34
2024-11-18,iPhone15,10,799,2023-09-01,Decline,Smartphones,588.69
2024-11-19,iPhone15,9,799,2023-09-01,Decline,Smartphones,588.48
2024-11-20,iPhone15,9,799,2023-09-01,Decline,Smartphones,588.28
2024-11-21,iPhone15,10,799,2023-09-01,Decline,Smartphones,588.08
2024-11-22,iPhone15,11,799,2023-09-01,Decline,Smartphones,587.87
2024-11-23,iPhone15,10,799,2023-09-01,Decline,Smartphones,617.05
2024-11-24,iPhone15,10,799,2023-09-01,Decline,Smartphones,587.46
2024-11-25,iPhone15,10,799,2023-09-01,Decline,Smartphones,587.26
2024-11-26,iPhone15,9,799,2023-09-01,Decline,Smartphones,616.41
2024-11-27,iPhone15,9,799,2023-09-01,Decline,Smartphones,586.85
2024-11-28,iPhone15,9,799,2023-09-01,Decline,Smartphones,615.98
2024-11-29,iPhone15,11,799,2023-09-01,Decline,Smartphones,586.45
2024-11-30,iPhone15,11,799,2023-09-01,Decline,Smartphones,615.55
2024-12-01,iPhone15,10,799,2023-09-01,Decline,Smartphones,689.46
2024-12-02,iPhone15,10,799,2023-09-01,Decline,Smartphones,654.76
2024-12-03,iPhone15,9,799,2023-09-01,Decline,Smartphones,654.53
2024-12-04,iPhone15,9,799,2023-09-01,Decline,Smartphones,688.74
2024-12-05,iPhone15,9,799,2023-09-01,Decline,Smartphones,688.5
2024-12-06,iPhone15,10,799,2023-09-01,Decline,Smartphones,688.26
2024-12-07,iPhone15,11,799,2023-09-01,Decline,Smartphones,688.02
2024-12-08,iPhone15,11,799,2023-09-01,Decline,Smartphones,687.78
2024-12-09,iPhone15,9,799,2023-09-01,Decline,Smartphones,687.54
2024-12-10,iPhone15,9,799,2023-09-01,Decline,Smartphones,721.66
2024-12-11,iPhone15,10,799,2023-09-01,Decline,Smartphones,652.71
2024-12-12,iPhone15,9,799,2023-09-01,Decline,Smartphones,652.48
2024-12-13,iPhone15,11,799,2023-09-01,Decline,Smartphones,686.58
2024-12-14,iPhone15,10,799,2023-09-01,Decline,Smartphones,720.66
2024-12-15,iPhone15,9,799,2023-09-01,Decline,Smartphones,720.41
2024-12-16,iPhone15,8,799,2023-09-01,Decline,Smartphones,685.86
2024-12-17,iPhone15,8,799,2023-09-01,Decline,Smartphones,651.34
2024-12-18,iPhone15,7,799,2023-09-01,Decline,Smartphones,685.38
2024-12-19,iPhone15,9,799,2023-09-01,Decline,Smartphones,685.14
2024-12-20,iPhone15,13,799,2023-09-01,Decline,Smartphones,684.9
2024-12-21,iPhone15,15,799,2023-09-01,Decline,Smartphones,684.66
2024-12-22,iPhone15,14,799,2023-09-01,Decline,Smartphones,684.42
2024-12-23,iPhone15,13,799,2023-09-01,Decline,Smartphones,684.18
2024-12-24,iPhone15,11,799,2023-09-01,Decline,Smartphones,683.94
2024-12-25,iPhone15,12,799,2023-09-01,Decline,Smartphones,683.7
2024-12-26,iPhone15,12,799,2023-09-01,Decline,Smartphones,683.46
2024-12-27,iPhone15,16,799,2023-09-01,Decline,Smartphones,683.22
2024-12-28,iPhone15,15,799,2023-09-01,Decline,Smartphones,682.99
2024-12-29,iPhone15,14,799,2023-09-01,Decline,Smartphones,682.75
2024-12-30,iPhone15,13,799,2023-09-01,Decline,Smartphones,682.51
2024-12-31,iPhone15,12,799,2023-09-01,Decline,Smartphones,648.15
2025-01-01,iPhone15,8,799,2023-09-01,Decline,Smartphones,647.93
